OrderID, CustomerName, OrderDate, Freight, ShippedDate, ShipCountry
10248, Paul Henriot, 7/4/1996, $32.38, 7/16/1996, France
10249, Karin Josephs, 7/5/1996, $11.61, 7/10/1996, Germany
10250, Mario Pontes, 7/8/1996, $65.83, 7/12/1996, Brazil
10251, Mary Saveley, 7/8/1996, $41.34, 7/15/1996, France
10252, Pascale Cartrain, 7/9/1996, $51.30, 7/11/1996, Belgium
10253, Mario Pontes, 7/10/1996, $58.17, 7/16/1996, Brazil
10254, Yang Wang, 7/11/1996, $22.98, 7/23/1996, Switzerland
10255, Michael Holz, 7/12/1996, $148.33, 7/15/1996, Switzerland
10256, Paula Parente, 7/15/1996, $13.97, 7/17/1996, Brazil
10257, Carlos Hernández, 7/16/1996, $81.91, 7/22/1996, Venezuela
10258, Roland Mendel, 7/17/1996, $140.51, 7/23/1996, Austria
10259, Francisco Chang, 7/18/1996, $3.25, 7/25/1996, Mexico
10260, Henriette Pfalzheim, 7/19/1996, $55.09, 7/29/1996, Germany
10261, Bernardo Batista, 7/19/1996, $3.05, 7/30/1996, Brazil
10262, Paula Wilson, 7/22/1996, $48.29, 7/25/1996, USA
